Forename,Surname,Name (Display as),Name (List as),Party,Constituency,Email,Address 1,Address 2,Postcode
Stephen,Kinnock,Stephen Kinnock,"Kinnock, Stephen",Labour,Aberavon,stephen.kinnock.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robin,Millar,Robin Millar,"Millar, Robin",Conservative,Aberconwy,robin.millar.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kirsty,Blackman,Kirsty Blackman,"Blackman, Kirsty",Scottish National Party,Aberdeen North,kirsty.blackman.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephen,Flynn,Stephen Flynn,"Flynn, Stephen",Scottish National Party,Aberdeen South,stephen.flynn.mp@parliament.uk,House of Commons,London,SW1A 0AA
Anum,Qaisar,Ms Anum Qaisar,"Qaisar, Ms Anum",Scottish National Party,Airdrie and Shotts,anum.mp@parliament.uk,House of Commons,London,SW1A 0AA
Leo,Docherty,Leo Docherty,"Docherty, Leo",Conservative,Aldershot,leo.docherty.mp@parliament.uk,House of Commons,London,SW1A 0AA
Wendy,Morton,Wendy Morton,"Morton, Wendy",Conservative,Aldridge-Brownhills,wendy.morton.mp@parliament.uk,House of Commons,London,SW1A 0AA
Graham,Brady,Sir Graham Brady,"Brady, Sir Graham",Conservative,Altrincham and Sale West,altsale@parliament.uk,House of Commons,London,SW1A 0AA
Mark,Tami,Mark Tami,"Tami, Mark",Labour,Alyn and Deeside,tamim@parliament.uk,House of Commons,London,SW1A 0AA
Nigel,Mills,Nigel Mills,"Mills, Nigel",Conservative,Amber Valley,nigel.mills.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Doogan,Dave Doogan,"Doogan, Dave",Scottish National Party,Angus,dave.doogan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Hywel,Williams,Hywel Williams,"Williams, Hywel",Plaid Cymru,Arfon,hywel.williams.mp@parliament.uk,House of Commons,London,SW1A 0AA
Brendan,O'Hara,Brendan O'Hara,"O'Hara, Brendan",Scottish National Party,Argyll and Bute,brendan.ohara.mp@parliament.uk,House of Commons,London,SW1A 0AA
Andrew,Griffith,Andrew Griffith,"Griffith, Andrew",Conservative,Arundel and South Downs,andrew.griffith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Lee,Anderson,Lee Anderson,"Anderson, Lee",Conservative,Ashfield,lee.anderson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Damian,Green,Damian Green,"Green, Damian",Conservative,Ashford,damian.green.mp@parliament.uk,House of Commons,London,SW1A 0AA
Angela,Rayner,Angela Rayner,"Rayner, Angela",Labour,Ashton-under-Lyne,angela.rayner.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Butler,Rob Butler,"Butler, Rob",Conservative,Aylesbury,rob.butler.mp@parliament.uk,House of Commons,London,SW1A 0AA
Allan,Dorans,Allan Dorans,"Dorans, Allan",Scottish National Party,"Ayr, Carrick and Cumnock",allan.dorans.mp@parliament.uk,House of Commons,London,SW1A 0AA
Victoria,Prentis,Victoria Prentis,"Prentis, Victoria",Conservative,Banbury,victoria.prentis.mp@parliament.uk,House of Commons,London,SW1A 0AA
David,Duguid,David Duguid,"Duguid, David",Conservative,Banff and Buchan,david.duguid.mp@parliament.uk,House of Commons,London,SW1A 0AA
Margaret,Hodge,Dame Margaret Hodge,"Hodge, Dame Margaret",Labour,Barking,hodgem@parliament.uk,House of Commons,London,SW1A 0AA
Daniel,Jarvis,Dan Jarvis,"Jarvis, Dan",Labour,Barnsley Central,dan.jarvis.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stephanie,Peacock,Stephanie Peacock,"Peacock, Stephanie",Labour,Barnsley East,stephanie.peacock.mp@parliament.uk,House of Commons,London,SW1A 0AA
Simon,Fell,Simon Fell,"Fell, Simon",Conservative,Barrow and Furness,simon.fell.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Baron,Mr John Baron,"Baron, Mr John",Conservative,Basildon and Billericay,baronj@parliament.uk,House of Commons,London,SW1A 0AA
Maria,Miller,Dame Maria Miller,"Miller, Dame Maria",Conservative,Basingstoke,maria.miller.mp@parliament.uk,House of Commons,London,SW1A 0AA
Brendan,Clarke-Smith,Brendan Clarke-Smith,"Clarke-Smith, Brendan",Conservative,Bassetlaw,brendan.clarkesmith.mp@parliament.uk,House of Commons,London,SW1A 0AA
Wera,Hobhouse,Wera Hobhouse,"Hobhouse, Wera",Liberal Democrat,Bath,wera.hobhouse.mp@parliament.uk,House of Commons,London,SW1A 0AA
Kim,Leadbeater,Kim Leadbeater,"Leadbeater, Kim",Labour,Batley and Spen,kim.leadbeater.mp@parliament.uk,House of Commons,London,SW1A 0AA
Marsha,De Cordova,Marsha De Cordova,"De Cordova, Marsha",Labour,Battersea,marsha.decordova.mp@parliament.uk,House of Commons,London,SW1A 0AA
Joy,Morrissey,Joy Morrissey,"Morrissey, Joy",Conservative,Beaconsfield,joy.morrissey.mp@parliament.uk,House of Commons,London,SW1A 0AA
Robert,Stewart,Bob Stewart,"Stewart, Bob",Conservative,Beckenham,bob.stewart.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mohammad,Yasin,Mohammad Yasin,"Yasin, Mohammad",Labour,Bedford,mohammad.yasin.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gavin,Robinson,Gavin Robinson,"Robinson, Gavin",Democratic Unionist Party,Belfast East,gavin.robinson.mp@parliament.uk,House of Commons,London,SW1A 0AA
John,Finucane,John Finucane,"Finucane, John",Sinn Féin,Belfast North,john.finucane.mp@parliament.uk,House of Commons,London,SW1A 0AA
