constituency,name,prdjf_obs,prdjf_proj,prjja_obs,prjja_proj,rx5day_obs,rx5day_proj,txx_obs,txx_proj,t_obs,t_proj
E14001063,Aldershot,-5.2747726,9.416067,-9.424043,-1.563246,0.0945437,0.98889697,1.6315746,0.9075241,0.98767567,0.75884056
E14001064,Aldridge-Brownhills,-0.31852183,8.905696,5.521495,-4.604797,5.5278497,-1.0286521,1.4931965,0.8811493,0.7771673,0.75121593
E14001065,Altrincham and Sale West,8.843328,5.392312,4.173727,-4.827185,-4.8655095,1.1074542,1.3315754,0.7885399,0.73237133,0.7458124
E14001066,Amber Valley,-3.9047472,7.4330554,10.742209,-4.0876684,1.5948759,0.10457093,1.7239895,0.83734703,0.9510937,0.7576361
E14001067,Arundel and South Downs,11.98743,8.96733,3.518848,-1.0610839,4.163788,2.3065896,1.5415221,0.94688934,0.9803025,0.7597862
E14001068,Ashfield,-3.697306,7.78358,11.051142,-3.9297063,1.3975743,0.13141418,1.8278313,0.84394646,0.99887466,0.7572489
E14001069,Ashford,9.228283,10.284359,4.9687753,-0.7118397,-10.722281,4.2602262,1.97194,0.8897028,1.0353317,0.75254583
E14001070,Ashton-under-Lyne,13.792019,5.730605,7.545823,-5.013533,2.8044434,-0.51169723,1.5828114,0.71780396,0.8307123,0.74478006
E14001071,Aylesbury,8.839821,8.981866,2.3746207,-2.7215238,4.0449324,1.1853088,1.8748035,0.90148544,1.1298695,0.7535744
E14001072,Banbury,10.178041,8.669015,3.2309074,-2.714951,4.6518526,-0.61837375,2.055697,0.9050499,1.0627855,0.75387305
E14001073,Barking,0.3380348,10.147084,-0.7710945,-1.814194,-4.381457,3.3255205,2.4181328,0.90006065,1.0286427,0.75687695
E14001074,Barnsley North,-4.638998,8.567587,9.62153,-2.4312837,3.805631,0.04303053,1.9609375,0.7752247,0.9554224,0.7517414
E14001075,Barnsley South,-4.638998,8.567587,9.62153,-2.4312837,3.805631,0.04303053,1.9609375,0.7752247,0.9554224,0.7517414
E14001076,Barrow and Furness,-1.0018206,4.20723,-3.97625,-4.7654123,-1.4978664,3.2887056,0.9215987,0.65127444,0.88821244,0.7431641
E14001077,Basildon and Billericay,0.60533667,10.599063,-3.132865,-1.7771881,-7.1768255,2.098592,2.3698578,0.8911629,1.0113049,0.7544861
E14001078,Basingstoke,0.5260408,8.048595,-1.3006728,-1.0075222,3.3768237,2.8930833,1.1965485,0.9863968,0.9794035,0.7584715
E14001079,Bassetlaw,-0.20241253,8.870161,11.093899,-2.820718,0.6127468,0.7316656,1.9001298,0.83668804,1.1764233,0.75272846
E14001080,Bath,3.330903,7.4631147,5.6983824,-2.205723,-4.7634935,0.16377135,1.1353836,0.985899,0.70110226,0.7546711
