constituency,name,cdd_anom,cdd_trend,maxtmax_anom,pr_ann,pr_djf,pr_jja,rx5day_anom,rx5day_trend,txx_anom,txx_trend,t_anom,t_trend
E14000530,Aldershot,0.2427578,-0.10091018,0.5360298,0.07502025,0.08442019,0.07371112,-0.68234634,0.90617186,0.5360298,0.28408074,0.5367584,0.21087152
E14000531,Aldridge-Brownhills,-0.1601429,-0.81802833,0.54291725,0.07743414,0.077500954,0.072710834,-1.8920135,1.1591084,0.54291725,0.22992402,0.53077984,0.19577819
E14000532,Altrincham and Sale West,-0.42246342,-0.35436374,0.50753784,0.09522717,0.124300495,0.08003941,-0.05999756,1.0808594,0.50753784,0.23938468,0.52503586,0.18579035
E14000533,Amber Valley,0.072460175,-0.7554806,0.5113354,0.07033154,0.06876938,0.07811363,-0.5509796,0.85764974,0.5113354,0.27018774,0.53379154,0.20076503
E14000534,Arundel and South Downs,0.34999925,-0.22323048,0.5889305,0.09299386,0.11448993,0.072871156,0.5668915,1.1668532,0.5889305,0.24100225,0.53428495,0.20445548
E14000535,Ashfield,-0.18913078,-0.910876,0.52013016,0.0691615,0.061970115,0.08383568,-0.3728485,0.81161666,0.52013016,0.27035534,0.5332022,0.2023802
E14000536,Ashford,0.43913,-0.2459128,0.60953826,0.07258749,0.0935198,0.04354265,1.4220161,0.8543471,0.60953826,0.3533364,0.5253395,0.21865804
E14000537,Ashton-under-Lyne,-0.4072485,-0.23296553,0.44887352,0.0974389,0.13460787,0.08567727,-0.7213135,1.1249424,0.44887352,0.24843565,0.52451277,0.17964017
E14000538,Aylesbury,0.43731785,-0.7630851,0.546752,0.07286854,0.07857302,0.070048496,-0.5049114,0.9433799,0.546752,0.2887459,0.5311103,0.21145186
E14000539,Banbury,0.4744957,-0.6639315,0.5261631,0.07849893,0.077849,0.075756416,-0.6919243,1.1578711,0.5261631,0.26599747,0.5302267,0.20795232
E14000540,Barking,0.28695488,-0.27728462,0.52511215,0.06423899,0.07115628,0.06958499,1.2822189,0.75676614,0.52511215,0.34576133,0.52970505,0.21611215
E14000541,Barnsley Central,-0.04420376,-0.42710817,0.50227356,0.08192401,0.07960149,0.101417184,-1.1150894,0.94716555,0.50227356,0.23826727,0.53022575,0.19344148
E14000542,Barnsley East,-0.04420376,-0.5910312,0.50227356,0.078650005,0.06931435,0.103192,-1.1150894,0.89688754,0.50227356,0.25067043,0.53022575,0.19879544
E14000543,Barrow and Furness,-0.30072436,-0.60923696,0.36711693,0.18832232,0.29892477,0.1330736,3.8272731,1.9769539,0.36711693,0.17183155,0.5142822,0.155814
E14000544,Basildon and Billericay,0.21521759,-0.22458902,0.5902157,0.06248653,0.06961019,0.06170263,0.37703705,0.69258356,0.5902157,0.33641237,0.5266361,0.21319288
E14000545,Basingstoke,0.4905796,-0.43381792,0.56100845,0.07726002,0.08902333,0.065903135,-0.71845627,0.9983903,0.56100845,0.26139748,0.53759,0.20569108
E14000546,Bassetlaw,-0.24963641,-0.78711134,0.5293379,0.0686186,0.055445984,0.09405615,0.20044327,0.77948576,0.5293379,0.23112833,0.53040695,0.20412953
E14000547,Bath,0.51304436,-0.4016009,0.6135292,0.09643801,0.11909509,0.07965074,-0.6301346,1.3865505,0.6135292,0.201691,0.5346403,0.18776879
E14000548,Batley and Spen,-0.097828865,-0.5290525,0.45939445,0.08951906,0.10192838,0.09946559,-0.9031296,1.0887095,0.45939445,0.22456048,0.5292139,0.18190724
E14000549,Battersea,0.36304283,-0.4736843,0.53473854,0.06714262,0.07530594,0.07167853,1.0441818,0.81176245,0.53473854,0.33231527,0.53520393,0.21723123
E14000550,Beaconsfield,0.34058094,-0.64064103,0.5688038,0.06959258,0.08016928,0.06862874,-0.52415085,0.87841576,0.5688038,0.30179155,0.5359354,0.21312058
E14000551,Beckenham,0.22028923,-0.20854896,0.5321903,0.06958351,0.08003082,0.077547014,0.48493576,0.80553436,0.5321903,0.34438318,0.5329199,0.21532066
E14000552,Bedford,0.2659397,-0.530011,0.5154724,0.06556678,0.056424145,0.078045174,-1.7794685,0.9158386,0.5154724,0.3214392,0.52822876,0.22082867
E14000553,Bermondsey and Old Southwark,0.2420311,-0.295695,0.5138149,0.066155314,0.073684074,0.07224323,0.97501373,0.79629254,0.5138149,0.34017432,0.5349741,0.21804929
E14000554,Berwick-upon-Tweed,-0.4977003,-0.28245637,0.33170336,0.07392762,0.07620744,0.08053684,-0.010219408,0.733307,0.33170336,0.16329624,0.5144177,0.15682584
E14000555,Bethnal Green and Bow,0.10217857,-0.295695,0.52456856,0.066155314,0.073684074,0.07224323,1.3245468,0.79629254,0.52456856,0.34017432,0.53137684,0.21804929
E14000556,Beverley and Holderness,-0.2807964,-0.32459053,0.42020464,0.07422929,0.05496393,0.091950275,0.38752222,0.7816665,0.42020464,0.09713117,0.5166123,0.18752557
E14000557,Bexhill and Battle,0.37735605,-0.07836008,0.5174756,0.085545115,0.11447511,0.046511658,2.34453,1.0219983,0.5174756,0.3037364,0.5204735,0.21424273
E14000558,Bexleyheath and Crayford,0.3210163,-0.27728462,0.54735756,0.06423899,0.07115628,0.06958499,0.6665802,0.75676614,0.54735756,0.34576133,0.53125095,0.21611215
E14000559,Birkenhead,-0.41883945,-0.6362757,0.5249424,0.10484907,0.102298625,0.094485395,4.0546646,1.2159839,0.5249424,0.20325536,0.52186394,0.16597402
E14000560,"Birmingham, Edgbaston",0.044197083,-0.74928796,0.53351593,0.07739843,0.07743226,0.07102957,-1.3975601,1.1650625,0.53351593,0.2158075,0.53315544,0.19632356
E14000561,"Birmingham, Erdington",-0.27318954,-0.59576714,0.534729,0.07778592,0.077479094,0.07285308,-1.5920753,1.1880579,0.534729,0.22616209,0.5319681,0.19720832
E14000562,"Birmingham, Hall Green",0.044197083,-0.7261226,0.53351593,0.07823847,0.07744349,0.07297038,-1.3975601,1.2144612,0.53351593,0.22582687,0.53315544,0.19825773
E14000563,"Birmingham, Hodge Hill",-0.0123233795,-0.6081431,0.5491257,0.07768557,0.07681752,0.07411233,-1.6238213,1.193436,0.5491257,0.23528755,0.53266716,0.19851862
E14000564,"Birmingham, Ladywood",0.044197083,-0.59576714,0.53351593,0.07778592,0.077479094,0.07285308,-1.3975601,1.1880579,0.53351593,0.22616209,0.53315544,0.19720832
E14000565,"Birmingham, Northfield",0.044197083,-0.7000251,0.53351593,0.077948816,0.07756581,0.07148906,-1.3975601,1.1964226,0.53351593,0.21565853,0.53315544,0.19714692
E14000566,"Birmingham, Perry Barr",-0.1601429,-0.59576714,0.54291725,0.07778592,0.077479094,0.07285308,-1.8920135,1.1880579,0.54291725,0.22616209,0.53077984,0.19720832
E14000567,"Birmingham, Selly Oak",0.044197083,-0.7261226,0.53351593,0.07823847,0.07744349,0.07297038,-1.3975601,1.2144612,0.53351593,0.22582687,0.53315544,0.19825773
E14000568,"Birmingham, Yardley",-0.0123233795,-0.6081431,0.5491257,0.07768557,0.07681752,0.07411233,-1.6238213,1.193436,0.5491257,0.23528755,0.53266716,0.19851862
E14000569,Bishop Auckland,-0.23677635,-0.40905327,0.39081836,0.094109036,0.13962066,0.08473681,0.5481577,1.0829381,0.39081836,0.20462815,0.53286076,0.17723604
E14000570,Blackburn,-0.49999905,-0.50151,0.46466446,0.12007608,0.1683694,0.10411482,1.1916504,1.326149,0.46466446,0.25987038,0.5225334,0.17787126
E14000571,Blackley and Broughton,-0.4195652,-0.36342964,0.4775238,0.10044715,0.14136554,0.08472833,-0.39684296,1.1227633,0.4775238,0.2508194,0.5269804,0.18531463
E14000572,Blackpool North and Cleveleys,-0.28116226,-0.6648145,0.38238335,0.14608553,0.19708654,0.11366294,0.5501404,1.5333214,0.38238335,0.18772349,0.512023,0.16359776
E14000573,Blackpool South,-0.36087322,-0.6966254,0.4441967,0.13828847,0.17706154,0.10964556,0.32689667,1.442693,0.4441967,0.200108,0.5175171,0.16458935
E14000574,Blaydon,-0.41594076,-0.31885558,0.3150301,0.074553825,0.08596131,0.07540626,1.2352371,0.8257792,0.3150301,0.16606452,0.51943016,0.17148733
E14000575,Blyth Valley,-0.5318842,-0.10120765,0.22147942,0.0716772,0.066921294,0.08132449,0.18032837,0.7597008,0.22147942,0.15619414,0.5106468,0.16340888
E14000576,Bognor Regis and Littlehampton,0.307971,-0.2202591,0.54347706,0.099694744,0.12231253,0.08095809,2.1999207,1.2744567,0.54347706,0.24590285,0.5292549,0.19819812
E14000577,Bolsover,-0.06739044,-0.7735141,0.5065117,0.07275731,0.064371735,0.09505403,-0.016338348,0.8262553,0.5065117,0.2629991,0.53221893,0.20139126
E14000578,Bolton North East,-0.40942097,-0.35437316,0.49276543,0.109457135,0.15230894,0.09596038,-0.77597046,1.2177144,0.49276543,0.25944206,0.5265484,0.18068781
E14000579,Bolton South East,-0.40942097,-0.35437316,0.49276543,0.109457135,0.15230894,0.09596038,-0.77597046,1.2177144,0.49276543,0.25944206,0.5265484,0.18068781
E14000580,Bolton West,-0.45724583,-0.3565405,0.48435974,0.10842283,0.14159033,0.0987498,-0.02178955,1.1920903,0.48435974,0.26079226,0.52498436,0.17791846
E14000581,Bootle,-0.4557991,-0.68019813,0.49349022,0.11638995,0.118063435,0.113150336,3.5426712,1.3102577,0.49349022,0.2078367,0.5190592,0.16730203
E14000582,Boston and Skegness,0.19338703,-0.64234173,0.4346795,0.06561566,0.044290897,0.07937181,-0.5294399,0.7581898,0.4346795,0.15710047,0.522699,0.20632666
E14000583,Bosworth,0.23224449,-0.52198035,0.50379944,0.07158567,0.06787631,0.07403837,-1.7068558,1.0403818,0.50379944,0.26133233,0.5286298,0.20345072
E14000584,Bournemouth East,0.7978287,-0.41902915,0.5011654,0.106913984,0.13026202,0.079059914,1.8032455,1.41652,0.5011654,0.17230333,0.53684235,0.18128455
E14000585,Bournemouth West,1.1195698,-0.41902915,0.47216415,0.106913984,0.13026202,0.079059914,1.6777878,1.41652,0.47216415,0.17230333,0.5329666,0.18128455
E14000586,Bracknell,0.46739197,-0.43581995,0.5287285,0.073278636,0.08384083,0.07148331,-1.1153603,0.90754473,0.5287285,0.28475118,0.5371361,0.21117902
E14000587,Bradford East,0.00072574615,-0.42778343,0.45248222,0.09066248,0.10370213,0.10161816,0.5652847,1.1234078,0.45248222,0.21465287,0.52747345,0.18335032
E14000588,Bradford South,0.09420586,-0.4173907,0.44185066,0.09714821,0.117838874,0.104351796,0.7247009,1.1904601,0.44185066,0.21591924,0.52838135,0.18064886
E14000589,Bradford West,0.09420586,-0.4173907,0.44185066,0.09714821,0.117838874,0.104351796,0.7247009,1.1904601,0.44185066,0.21591924,0.52838135,0.18064886
E14000590,Braintree,0.5391302,-0.24547556,0.5655155,0.0596645,0.06727127,0.052054904,-0.40165076,0.6041354,0.5655155,0.26998657,0.5283518,0.21743591
E14000591,Brent Central,0.23478508,-0.5585356,0.5476093,0.06582346,0.07410003,0.06806588,1.011528,0.83070284,0.5476093,0.32184893,0.5339327,0.21421456
E14000592,Brent North,0.32970428,-0.5585356,0.550724,0.06582346,0.07410003,0.06806588,0.5138931,0.83070284,0.550724,0.32184893,0.5336008,0.21421456
E14000593,Brentford and Isleworth,0.5079727,-0.52229553,0.5397358,0.06802058,0.0767384,0.07102706,0.6520195,0.8318751,0.5397358,0.32363677,0.5343933,0.21496592
E14000594,Brentwood and Ongar,0.32717514,-0.33513173,0.5975828,0.060946133,0.06679377,0.06060611,0.49256325,0.6901655,0.5975828,0.33981428,0.52863216,0.21478473
E14000595,Bridgwater and West Somerset,0.6325276,-0.40275064,0.59073,0.113385476,0.13153301,0.09724917,1.019847,1.4361434,0.59073,0.16938877,0.533029,0.16830556
E14000596,Brigg and Goole,-0.28426537,-0.6169498,0.45760754,0.06859206,0.054783296,0.09067122,0.89181846,0.7611835,0.45760754,0.19576463,0.52576435,0.1988915
E14000597,"Brighton, Kemptown",0.32464027,-0.08552647,0.49020767,0.09736777,0.123352304,0.06671109,1.9829712,1.2172128,0.49020767,0.24039033,0.51992226,0.20650914
E14000598,"Brighton, Pavilion",0.15000153,-0.08552647,0.4932785,0.09736777,0.123352304,0.06671109,1.6701889,1.2172128,0.4932785,0.24039033,0.51868916,0.20650914
