,region,constituency,name,cdd_trend
0,0,,E14001063,-0.10091017931699753
1,1,,E14001064,-0.8180283308029175
2,2,,E14001065,-0.35436373949050903
3,3,,E14001066,-0.7554805874824524
4,4,,E14001067,-0.2459699809551239
5,5,,E14001068,-0.9108759760856628
6,6,,E14001069,-0.11884604394435883
7,7,,E14001070,-0.23296552896499634
8,8,,E14001071,-0.7667858600616455
9,9,,E14001072,-0.6802750825881958
10,10,,E14001073,0.0
11,11,,E14001074,-0.5910311937332153
12,12,,E14001075,0.0
13,13,,E14001076,-0.6482071280479431
14,14,,E14001077,-0.2245890200138092
15,15,,E14001078,0.0
16,16,,E14001079,-0.7674537897109985
17,17,,E14001080,-0.4689955413341522
18,18,,E14001081,0.0
19,19,,E14001082,-0.6406410336494446
20,20,,E14001083,-0.20854896306991577
21,21,,E14001084,0.0
22,22,,E14001085,-0.2956950068473816
23,23,,E14001086,0.0
24,24,,E14001087,-0.3230994641780853
25,25,,E14001088,-0.08267636597156525
26,26,,E14001089,0.0
27,27,,E14001090,-0.46719783544540405
28,28,,E14001091,0.0
29,29,,E14001092,0.0
30,30,,E14001093,0.0
31,31,,E14001094,0.0
32,32,,E14001095,-0.6081430912017822
33,33,,E14001096,-0.5957671403884888
34,34,,E14001097,-0.7000250816345215
35,35,,E14001098,0.0
36,36,,E14001099,0.0
37,37,,E14001100,0.0
38,38,,E14001101,-0.42871737480163574
39,39,,E14001102,0.0
40,40,,E14001103,0.0
41,41,,E14001104,0.0
42,42,,E14001105,-0.6966254115104675
43,43,,E14001106,-0.3577445447444916
44,44,,E14001107,-0.35837727785110474
45,45,,E14001108,0.0
46,46,,E14001109,-0.7735140919685364
47,47,,E14001110,-0.35437315702438354
48,48,,E14001111,0.0
49,49,,E14001112,-0.3565405011177063
50,50,,E14001113,0.0
51,51,,E14001114,-0.6185377240180969
52,52,,E14001115,0.0
53,53,,E14001116,0.0
54,54,,E14001117,-0.43581995368003845
55,55,,E14001118,0.0
56,56,,E14001119,0.0
57,57,,E14001120,-0.41739070415496826
58,58,,E14001121,-0.3268803060054779
59,59,,E14001122,0.0
60,60,,E14001123,0.0
61,61,,E14001124,0.0
62,62,,E14001125,-0.3351317346096039
63,63,,E14001126,-0.25705039501190186
64,64,,E14001127,-0.47064489126205444
65,65,,E14001128,-0.5247042179107666
66,66,,E14001129,0.0
67,67,,E14001130,0.0
68,68,,E14001131,0.0
69,69,,E14001132,0.0
70,70,,E14001133,0.0
71,71,,E14001134,-0.43560275435447693
72,72,,E14001135,-0.30168700218200684
73,73,,E14001136,-0.1386101096868515
74,74,,E14001137,0.0
75,75,,E14001138,-0.5672174096107483
76,76,,E14001139,-0.20382949709892273
77,77,,E14001140,-0.75831139087677
78,78,,E14001141,-0.763275146484375
79,79,,E14001142,-0.4038248658180237
80,80,,E14001143,-0.5803244113922119
81,81,,E14001144,-0.32919639348983765
82,82,,E14001145,0.0
83,83,,E14001146,-0.2392691820859909
84,84,,E14001147,-0.5017310380935669
85,85,,E14001148,-0.4680086672306061
86,86,,E14001149,-0.3248806297779083
87,87,,E14001150,-1.0054281949996948
88,88,,E14001151,-0.06343067437410355
89,89,,E14001152,-0.4496041536331177
90,90,,E14001153,0.0
91,91,,E14001154,0.0
92,92,,E14001155,-0.17413628101348877
93,93,,E14001156,-0.4404264986515045
94,94,,E14001157,0.0
95,95,,E14001158,0.0
96,96,,E14001159,0.0
97,97,,E14001160,0.0
98,98,,E14001161,-0.649407148361206
99,99,,E14001162,-0.6547404527664185
100,100,,E14001163,-0.39859074354171753
101,101,,E14001164,-0.44035330414772034
102,102,,E14001165,0.0
103,103,,E14001166,-0.2579093873500824
104,104,,E14001167,-0.04193927347660065
105,105,,E14001168,-0.3868829607963562
106,106,,E14001169,0.0
107,107,,E14001170,-0.6342689990997314
108,108,,E14001171,-0.5162610411643982
109,109,,E14001172,0.0
110,110,,E14001173,-0.47236689925193787
111,111,,E14001174,-0.12201438844203949
112,112,,E14001175,0.0
113,113,,E14001176,-0.2427019327878952
