,region,constituency,name,pr_ann_anom
0,0,,E14001063,0.029721736907958984
1,1,,E14001064,0.019288063049316406
2,2,,E14001065,0.0
3,3,,E14001066,0.027204513549804688
4,4,,E14001067,0.03835596516728401
5,5,,E14001068,0.025394201278686523
6,6,,E14001069,0.038895487785339355
7,7,,E14001070,0.0
8,8,,E14001071,0.04009079933166504
9,9,,E14001072,0.03486461564898491
10,10,,E14001073,0.0
11,11,,E14001074,0.03081536293029785
12,12,,E14001075,0.0
13,13,,E14001076,0.07304120063781738
14,14,,E14001077,0.0
15,15,,E14001078,0.0
16,16,,E14001079,0.025665283203125
17,17,,E14001080,0.0
18,18,,E14001081,0.0
19,19,,E14001082,0.03069281578063965
20,20,,E14001083,0.0
21,21,,E14001084,0.0
22,22,,E14001085,0.0
23,23,,E14001086,0.0
24,24,,E14001087,0.023304402828216553
25,25,,E14001088,0.04678463935852051
26,26,,E14001089,0.0
27,27,,E14001090,0.04335904121398926
28,28,,E14001091,0.0
29,29,,E14001092,0.0
30,30,,E14001093,0.0
31,31,,E14001094,0.0
32,32,,E14001095,0.0
33,33,,E14001096,0.0
34,34,,E14001097,0.0
35,35,,E14001098,0.0
36,36,,E14001099,0.01915287971496582
37,37,,E14001100,0.0
38,38,,E14001101,0.03632974624633789
39,39,,E14001102,0.0
40,40,,E14001103,0.0
41,41,,E14001104,0.09296369552612305
42,42,,E14001105,0.09684371948242188
43,43,,E14001106,0.029176712036132812
44,44,,E14001107,0.022160768508911133
45,45,,E14001108,0.06897282600402832
46,46,,E14001109,0.02178192138671875
47,47,,E14001110,0.0
48,48,,E14001111,0.05462026596069336
49,49,,E14001112,0.0
50,50,,E14001113,0.0
51,51,,E14001114,0.024628587067127228
52,52,,E14001115,0.0
53,53,,E14001116,0.0
54,54,,E14001117,0.0
55,55,,E14001118,0.0
56,56,,E14001119,0.0
57,57,,E14001120,0.04180479049682617
58,58,,E14001121,0.026601742953062057
59,59,,E14001122,0.0
60,60,,E14001123,0.03553271293640137
61,61,,E14001124,0.0
62,62,,E14001125,0.027804017066955566
63,63,,E14001126,0.06196928024291992
64,64,,E14001127,0.015146629884839058
65,65,,E14001128,0.017833709716796875
66,66,,E14001129,0.05915379524230957
67,67,,E14001130,0.0
68,68,,E14001131,0.0
