,region,constituency,name,pr_ann_anom
0,1,E14000530,Aldershot,0.029721737
1,2,E14000531,Aldridge-Brownhills,0.019288063
2,3,E14000532,Altrincham and Sale West,0.048975468
3,4,E14000533,Amber Valley,0.027204514
4,5,E14000534,Arundel and South Downs,0.03948455
5,6,E14000535,Ashfield,0.025394201
6,7,E14000536,Ashford,0.0419003
7,8,E14000537,Ashton-under-Lyne,0.07440424
8,9,E14000538,Aylesbury,0.032818675
9,10,E14000539,Banbury,0.040774535
10,11,E14000540,Barking,0.040431738
11,12,E14000541,Barnsley Central,0.030815363
12,13,E14000542,Barnsley East,0.030815363
13,14,E14000543,Barrow and Furness,0.05973037
14,15,E14000544,Basildon and Billericay,0.02952075
15,16,E14000545,Basingstoke,0.034864902
16,17,E14000546,Bassetlaw,0.025665283
17,18,E14000547,Bath,0.047070503
18,19,E14000548,Batley and Spen,0.04471636
19,20,E14000549,Battersea,0.031379938
20,21,E14000550,Beaconsfield,0.030692816
21,22,E14000551,Beckenham,0.026280642
22,23,E14000552,Bedford,0.034907818
23,24,E14000553,Bermondsey and Old Southwark,0.028662443
24,25,E14000554,Berwick-upon-Tweed,0.021350756
25,26,E14000555,Bethnal Green and Bow,0.040319204
26,27,E14000556,Beverley and Holderness,0.024015486
27,28,E14000557,Bexhill and Battle,0.046777368
28,29,E14000558,Bexleyheath and Crayford,0.028951406
29,30,E14000559,Birkenhead,0.13500023
30,31,E14000560,"Birmingham, Edgbaston",0.01915288
31,32,E14000561,"Birmingham, Erdington",0.025814772
32,33,E14000562,"Birmingham, Hall Green",0.01915288
33,34,E14000563,"Birmingham, Hodge Hill",0.020572186
34,35,E14000564,"Birmingham, Ladywood",0.01915288
35,36,E14000565,"Birmingham, Northfield",0.01915288
36,37,E14000566,"Birmingham, Perry Barr",0.019288063
37,38,E14000567,"Birmingham, Selly Oak",0.01915288
38,39,E14000568,"Birmingham, Yardley",0.020572186
39,40,E14000569,Bishop Auckland,0.03996089
40,41,E14000570,Blackburn,0.07973337
41,42,E14000571,Blackley and Broughton,0.09073734
42,43,E14000572,Blackpool North and Cleveleys,0.092963696
43,44,E14000573,Blackpool South,0.09684372
44,45,E14000574,Blaydon,0.027203321
45,46,E14000575,Blyth Valley,0.023667336
46,47,E14000576,Bognor Regis and Littlehampton,0.066798925
47,48,E14000577,Bolsover,0.021781921
48,49,E14000578,Bolton North East,0.054620266
49,50,E14000579,Bolton South East,0.054620266
50,51,E14000580,Bolton West,0.059404373
51,52,E14000581,Bootle,0.09369111
52,53,E14000582,Boston and Skegness,0.023455769
53,54,E14000583,Bosworth,0.016236901
54,55,E14000584,Bournemouth East,0.07603145
55,56,E14000585,Bournemouth West,0.06565952
56,57,E14000586,Bracknell,0.03087163
57,58,E14000587,Bradford East,0.040376663
58,59,E14000588,Bradford South,0.04180479
59,60,E14000589,Bradford West,0.04180479
60,61,E14000590,Braintree,0.026669463
61,62,E14000591,Brent Central,0.03522086
62,63,E14000592,Brent North,0.035532713
63,64,E14000593,Brentford and Isleworth,0.03890872
64,65,E14000594,Brentwood and Ongar,0.027804017
65,66,E14000595,Bridgwater and West Somerset,0.05894963
66,67,E14000596,Brigg and Goole,0.028082984
67,68,E14000597,"Brighton, Kemptown",0.059153795
68,69,E14000598,"Brighton, Pavilion",0.0663259
69,70,E14000599,Bristol East,0.073127985
70,71,E14000600,Bristol North West,0.08331132
71,72,E14000601,Bristol South,0.073127985
72,73,E14000602,Bristol West,0.073127985
73,74,E14000603,Broadland,0.035747647
74,75,E14000604,Bromley and Chislehurst,0.026280642
75,76,E14000605,Bromsgrove,0.021038294
76,77,E14000606,Broxbourne,0.038445234
77,78,E14000607,Broxtowe,0.022445679
78,79,E14000608,Buckingham,0.045612812
79,80,E14000609,Burnley,0.05953574
80,81,E14000610,Burton,0.02154255
81,82,E14000611,Bury North,0.067498684
82,83,E14000612,Bury South,0.067498684
83,84,E14000613,Bury St Edmunds,0.022987723
84,85,E14000614,Calder Valley,0.04585868
85,86,E14000615,Camberwell and Peckham,0.028662443
86,87,E14000616,Camborne and Redruth,0.056717157
87,88,E14000617,Cambridge,0.021276712
88,89,E14000618,Cannock Chase,0.017278433
89,90,E14000619,Canterbury,0.048343778
90,91,E14000620,Carlisle,0.04714322
91,92,E14000621,Carshalton and Wallington,0.017017126
92,93,E14000622,Castle Point,0.03517604
93,94,E14000623,Central Devon,0.052181244
94,95,E14000624,Central Suffolk and North Ipswich,0.022526216
95,96,E14000625,Charnwood,0.026424646
96,97,E14000626,Chatham and Aylesford,0.026180983
97,98,E14000627,Cheadle,0.065104485
98,99,E14000628,Chelmsford,0.024784803
99,100,E14000629,Chelsea and Fulham,0.031379938
100,101,E14000630,Cheltenham,0.043937683
101,102,E14000631,Chesham and Amersham,0.027039528
102,103,E14000632,Chesterfield,0.02414608
103,104,E14000633,Chichester,0.044398356
104,105,E14000634,Chingford and Woodford Green,0.040431738
105,106,E14000635,Chippenham,0.049333334
106,107,E14000636,Chipping Barnet,0.038094997
107,108,E14000637,Chorley,0.07973337
108,109,E14000638,Christchurch,0.043015003
109,110,E14000639,Cities of London and Westminster,0.03522086
110,111,E14000640,City of Chester,0.045436382
111,112,E14000641,City of Durham,0.013104916
112,113,E14000642,Clacton,0.036705017
113,114,E14000643,Cleethorpes,0.020492673
114,115,E14000644,Colchester,0.025824785
115,116,E14000645,Colne Valley,0.038146853
116,117,E14000646,Congleton,0.053848386
117,118,E14000647,Copeland,0.08981214
118,119,E14000648,Corby,0.032877624
119,120,E14000649,Coventry North East,0.0310328
120,121,E14000650,Coventry North West,0.02517724
121,122,E14000651,Coventry South,0.02517724
122,123,E14000652,Crawley,0.030271292
123,124,E14000653,Crewe and Nantwich,0.04673314
124,125,E14000654,Croydon Central,0.008381367
125,126,E14000655,Croydon North,0.028662443
126,127,E14000656,Croydon South,0.008381367
127,128,E14000657,Dagenham and Rainham,0.03774929
128,129,E14000658,Darlington,0.020613909
129,130,E14000659,Dartford,0.029222846
130,131,E14000660,Daventry,0.038255572
131,132,E14000661,Denton and Reddish,0.08532381
132,133,E14000662,Derby North,0.02216363
133,134,E14000663,Derby South,0.02216363
134,135,E14000664,Derbyshire Dales,0.027947716
135,136,E14000665,Devizes,0.03437008
136,137,E14000666,Dewsbury,0.033695817
137,138,E14000667,Don Valley,0.024478674
138,139,E14000668,Doncaster Central,0.023711443
139,140,E14000669,Doncaster North,0.023255944
140,141,E14000670,Dover,0.04814768
141,142,E14000671,Dudley North,0.024587631
142,143,E14000672,Dudley South,0.032123327
143,144,E14000673,Dulwich and West Norwood,0.028662443
144,145,E14000674,Ealing Central and Acton,0.035532713
145,146,E14000675,Ealing North,0.035532713
146,147,E14000676,"Ealing, Southall",0.035532713
147,148,E14000677,Easington,0.021181107
148,149,E14000678,East Devon,0.04515497
149,150,E14000679,East Ham,0.040431738
150,151,E14000680,East Hampshire,0.037516832
151,152,E14000681,East Surrey,0.017700553
152,153,E14000682,East Worthing and Shoreham,0.08198738
153,154,E14000683,East Yorkshire,0.019431382
154,155,E14000684,Eastbourne,0.056671143
155,156,E14000685,Eastleigh,0.047223568
156,157,E14000686,Eddisbury,0.036775064
157,158,E14000687,Edmonton,0.038445234
158,159,E14000688,Ellesmere Port and Neston,0.079049826
159,160,E14000689,Elmet and Rothwell,0.029501915
160,161,E14000690,Eltham,0.026280642
161,162,E14000691,Enfield North,0.038445234
162,163,E14000692,"Enfield, Southgate",0.038094997
163,164,E14000693,Epping Forest,0.037224054
164,165,E14000694,Epsom and Ewell,0.027071476
165,166,E14000695,Erewash,0.022692442
166,167,E14000696,Erith and Thamesmead,0.028951406
167,168,E14000697,Esher and Walton,0.02837491
168,169,E14000698,Exeter,0.04249358
169,170,E14000699,Fareham,0.08078623
170,171,E14000700,Faversham and Mid Kent,0.030314445
171,172,E14000701,Feltham and Heston,0.036544085
172,173,E14000702,Filton and Bradley Stoke,0.073305845
173,174,E14000703,Finchley and Golders Green,0.03522086
174,175,E14000704,Folkestone and Hythe,0.056494415
175,176,E14000705,Forest of Dean,0.036428988
176,177,E14000706,Fylde,0.08464956
177,178,E14000707,Gainsborough,0.01891349
178,179,E14000708,Garston and Halewood,0.079049826
179,180,E14000709,Gateshead,0.025234938
180,181,E14000710,Gedling,0.028184175
181,182,E14000711,Gillingham and Rainham,0.01961565
182,183,E14000712,Gloucester,0.046682596
183,184,E14000713,Gosport,0.08078623
184,185,E14000714,Grantham and Stamford,0.027534902
