,region,constituency,name,pr_djf_anom
0,0,,E14001063,0.17962169647216797
1,1,,E14001064,0.21198010444641113
2,2,,E14001065,0.0
3,3,,E14001066,0.17473268508911133
4,4,,E14001067,0.224969282746315
5,5,,E14001068,0.16920137405395508
6,6,,E14001069,0.2005246877670288
7,7,,E14001070,0.0
8,8,,E14001071,0.18543505668640137
9,9,,E14001072,0.18568353354930878
10,10,,E14001073,0.0
11,11,,E14001074,0.15776658058166504
12,12,,E14001075,0.0
13,13,,E14001076,0.2444671392440796
14,14,,E14001077,0.0
15,15,,E14001078,0.0
16,16,,E14001079,0.14908957481384277
17,17,,E14001080,0.0
18,18,,E14001081,0.0
19,19,,E14001082,0.18067610263824463
20,20,,E14001083,0.0
21,21,,E14001084,0.0
22,22,,E14001085,0.0
23,23,,E14001086,0.0
24,24,,E14001087,0.13469815254211426
25,25,,E14001088,0.2333202362060547
26,26,,E14001089,0.0
27,27,,E14001090,0.1773211508989334
28,28,,E14001091,0.0
29,29,,E14001092,0.0
30,30,,E14001093,0.0
31,31,,E14001094,0.0
32,32,,E14001095,0.0
33,33,,E14001096,0.0
34,34,,E14001097,0.0
35,35,,E14001098,0.0
36,36,,E14001099,0.20305204391479492
37,37,,E14001100,0.0
38,38,,E14001101,0.17231294512748718
39,39,,E14001102,0.0
40,40,,E14001103,0.0
41,41,,E14001104,0.30443429946899414
42,42,,E14001105,0.31818675994873047
43,43,,E14001106,0.13997244834899902
44,44,,E14001107,0.13916778564453125
45,45,,E14001108,0.3094654083251953
46,46,,E14001109,0.156205415725708
47,47,,E14001110,0.0
48,48,,E14001111,0.2316122055053711
49,49,,E14001112,0.0
50,50,,E14001113,0.0
51,51,,E14001114,0.15622393786907196
52,52,,E14001115,0.0
53,53,,E14001116,0.0
54,54,,E14001117,0.0
55,55,,E14001118,0.0
56,56,,E14001119,0.0
57,57,,E14001120,0.1826765537261963
58,58,,E14001121,0.16312150657176971
59,59,,E14001122,0.0
60,60,,E14001123,0.1794111728668213
61,61,,E14001124,0.0
62,62,,E14001125,0.17713236808776855
63,63,,E14001126,0.21794354915618896
64,64,,E14001127,0.13091108202934265
65,65,,E14001128,0.13734573125839233
66,66,,E14001129,0.3150973320007324
67,67,,E14001130,0.0
68,68,,E14001131,0.0
69,69,,E14001132,0.2524285316467285
70,70,,E14001133,0.0
71,71,,E14001134,0.28351783752441406
72,72,,E14001135,0.0
73,73,,E14001136,0.163219153881073
74,74,,E14001137,0.0
75,75,,E14001138,0.19390296936035156
76,76,,E14001139,0.17786669731140137
77,77,,E14001140,0.0
78,78,,E14001141,0.18920493125915527
79,79,,E14001142,0.2505216598510742
80,80,,E14001143,0.1887960433959961
81,81,,E14001144,0.0
82,82,,E14001145,0.23352670669555664
83,83,,E14001146,0.1661175936460495
84,84,,E14001147,0.21438592672348022
85,85,,E14001148,0.27373695373535156
86,86,,E14001149,0.0
87,87,,E14001150,0.0
88,88,,E14001151,0.17215776443481445
89,89,,E14001152,0.21186453104019165
90,90,,E14001153,0.0
91,91,,E14001154,0.17849397659301758
92,92,,E14001155,0.22562360763549805
93,93,,E14001156,0.16302841901779175
94,94,,E14001157,0.17512249946594238
95,95,,E14001158,0.0
96,96,,E14001159,0.0
97,97,,E14001160,0.0
98,98,,E14001161,0.0
99,99,,E14001162,0.17963862419128418
100,100,,E14001163,0.0
101,101,,E14001164,0.19450178742408752
102,102,,E14001165,0.0
103,103,,E14001166,0.2834246754646301
104,104,,E14001167,0.0
105,105,,E14001168,0.19281858205795288
106,106,,E14001169,0.0
107,107,,E14001170,0.3140430450439453
108,108,,E14001171,0.2323460578918457
109,109,,E14001172,0.0
110,110,,E14001173,0.14142131805419922
111,111,,E14001174,0.18180441856384277
112,112,,E14001175,0.0
113,113,,E14001176,0.0
114,114,,E14001177,0.2276325225830078
115,115,,E14001178,0.25426483154296875
116,116,,E14001179,0.17556655406951904
117,117,,E14001180,0.20166873931884766
118,118,,E14001181,0.19780850410461426
119,119,,E14001182,0.0
120,120,,E14001183,0.13419866561889648
121,121,,E14001184,0.0
122,122,,E14001185,0.22860288619995117
123,123,,E14001186,0.0
124,124,,E14001187,0.0
125,125,,E14001188,0.0
126,126,,E14001189,0.0
127,127,,E14001190,0.14084392786026
128,128,,E14001191,0.18300259113311768
129,129,,E14001192,0.18858544528484344
130,130,,E14001193,0.17978334426879883
131,131,,E14001194,0.0
132,132,,E14001195,0.18751469254493713
133,133,,E14001196,0.0
134,134,,E14001197,0.17507505416870117
135,135,,E14001198,0.14536254107952118
136,136,,E14001199,0.14994120597839355
137,137,,E14001200,0.14666473865509033
138,138,,E14001201,0.2110004425048828
139,139,,E14001202,0.19532036781311035
140,140,,E14001203,0.1926647424697876
141,141,,E14001204,0.0
142,142,,E14001205,0.18655133247375488
143,143,,E14001206,0.17893409729003906
144,144,,E14001207,0.0
145,145,,E14001208,0.0
146,146,,E14001209,0.0
147,147,,E14001210,0.17690157890319824
148,148,,E14001211,0.14665770530700684
149,149,,E14001212,0.23798561096191406
150,150,,E14001213,0.0
151,151,,E14001214,0.21224959194660187
152,152,,E14001215,0.20899426937103271
153,153,,E14001216,0.0
154,154,,E14001217,0.1905309408903122
155,155,,E14001218,0.0
156,156,,E14001219,0.0
157,157,,E14001220,0.22985100746154785
158,158,,E14001221,0.0
159,159,,E14001222,0.21918749809265137
160,160,,E14001223,0.18581032752990723
161,161,,E14001224,0.164852574467659
162,162,,E14001225,0.0
163,163,,E14001226,0.17859101295471191
164,164,,E14001227,0.197129487991333
165,165,,E14001228,0.17759060859680176
166,166,,E14001229,0.0
167,167,,E14001230,0.0
168,168,,E14001231,0.0
169,169,,E14001232,0.20344305038452148
170,170,,E14001233,0.0
171,171,,E14001234,0.19002509117126465
172,172,,E14001235,0.16494017839431763
173,173,,E14001236,0.18422365188598633
174,174,,E14001237,0.0
175,175,,E14001238,0.0
176,176,,E14001239,0.2675766944885254
177,177,,E14001240,0.19881610572338104
178,178,,E14001241,0.2185267210006714
179,179,,E14001242,0.30571889877319336
180,180,,E14001243,0.14895232021808624
181,181,,E14001244,0.13131165504455566
182,182,,E14001245,0.0
183,183,,E14001246,0.0
184,184,,E14001247,0.22537964582443237
185,185,,E14001248,0.0
186,186,,E14001249,0.19609849154949188
187,187,,E14001250,0.15437443554401398
188,188,,E14001251,0.29508018493652344
189,189,,E14001252,0.29928135871887207
190,190,,E14001253,0.16668491065502167
191,191,,E14001254,0.17805719375610352
192,192,,E14001255,0.12982964515686035
193,193,,E14001256,0.17630966007709503
194,194,,E14001257,0.0
195,195,,E14001258,0.0
196,196,,E14001259,0.181959867477417
197,197,,E14001260,0.0
198,198,,E14001261,0.20590949058532715
199,199,,E14001262,0.0
200,200,,E14001263,0.0
201,201,,E14001264,0.0
202,202,,E14001265,0.17862176895141602
203,203,,E14001266,0.19286179542541504
204,204,,E14001267,0.1732490062713623
205,205,,E14001268,0.17609477043151855
206,206,,E14001269,0.15845704078674316
207,207,,E14001270,0.0
208,208,,E14001271,0.0
209,209,,E14001272,0.14061188697814941
210,210,,E14001273,0.1714104413986206
211,211,,E14001274,0.251986026763916
212,212,,E14001275,0.0
213,213,,E14001276,0.0
214,214,,E14001277,0.0
215,215,,E14001278,0.0
216,216,,E14001279,0.0
217,217,,E14001280,0.1805705428123474
218,218,,E14001281,0.17152626812458038
219,219,,E14001282,0.1725175380706787
220,220,,E14001283,0.1728121042251587
221,221,,E14001284,0.17858290672302246
222,222,,E14001285,0.16550898551940918
223,223,,E14001286,0.2745857238769531
224,224,,E14001287,0.2420591115951538
225,225,,E14001288,0.19726717472076416
226,226,,E14001289,0.1648101806640625
227,227,,E14001290,0.0
228,228,,E14001291,0.22058385610580444
229,229,,E14001292,0.1809217929840088
230,230,,E14001293,0.0
231,231,,E14001294,0.21840834617614746
232,232,,E14001295,0.13369417190551758
233,233,,E14001296,0.0
234,234,,E14001297,0.0
235,235,,E14001298,0.16899383068084717
236,236,,E14001299,0.25435876846313477
237,237,,E14001300,0.18265032768249512
238,238,,E14001301,0.0
239,239,,E14001302,0.16707539558410645
240,240,,E14001303,0.296006441116333
241,241,,E14001304,0.3047332763671875
242,242,,E14001305,0.0
243,243,,E14001306,0.0
244,244,,E14001307,0.13597631454467773
245,245,,E14001308,0.19588510692119598
246,246,,E14001309,0.1966480314731598
247,247,,E14001310,0.0
248,248,,E14001311,0.17943501472473145
249,249,,E14001312,0.0
250,250,,E14001313,0.0
251,251,,E14001314,0.0
252,252,,E14001315,0.0
253,253,,E14001316,0.20775341987609863
254,254,,E14001317,0.23479914665222168
255,255,,E14001318,0.389809250831604
256,256,,E14001319,0.16861915588378906
257,257,,E14001320,0.16129183769226074
258,258,,E14001321,0.0
259,259,,E14001322,0.0
260,260,,E14001323,0.0
261,261,,E14001324,0.0
262,262,,E14001325,0.17470169067382812
263,263,,E14001326,0.0
264,264,,E14001327,0.0
265,265,,E14001328,0.0
266,266,,E14001329,0.0
267,267,,E14001330,0.2802683711051941
268,268,,E14001331,0.0
269,269,,E14001332,0.0
270,270,,E14001333,0.0
271,271,,E14001334,0.0
272,272,,E14001335,0.1989750862121582
273,273,,E14001336,0.15696001052856445
274,274,,E14001337,0.0
275,275,,E14001338,0.0
276,276,,E14001339,0.24299907684326172
277,277,,E14001340,0.0
278,278,,E14001341,0.0
279,279,,E14001342,0.17674899101257324
280,280,,E14001343,0.1419266164302826
281,281,,E14001344,0.1659144163131714
282,282,,E14001345,0.0
283,283,,E14001346,0.0
284,284,,E14001347,0.29348742961883545
285,285,,E14001348,0.1753852367401123
286,286,,E14001349,0.0
287,287,,E14001350,0.0
288,288,,E14001351,0.17305807769298553
289,289,,E14001352,0.0
290,290,,E14001353,0.0
291,291,,E14001354,0.0
292,292,,E14001355,0.15421819686889648
293,293,,E14001356,0.1953744888305664
294,294,,E14001357,0.17738103866577148
295,295,,E14001358,0.20054912567138672
296,296,,E14001359,0.1761976033449173
297,297,,E14001360,0.18242397904396057
298,298,,E14001361,0.21351385116577148
299,299,,E14001362,0.18081998825073242
300,300,,E14001363,0.2410532683134079
301,301,,E14001364,0.1844770908355713
302,302,,E14001365,0.16417823731899261
303,303,,E14001366,0.2564113140106201
304,304,,E14001367,0.15908598899841309
305,305,,E14001368,0.1566394567489624
306,306,,E14001369,0.0
307,307,,E14001370,0.18579848110675812
308,308,,E14001371,0.0
309,309,,E14001372,0.3300561308860779
310,310,,E14001373,0.2515488266944885
311,311,,E14001374,0.22161953151226044
312,312,,E14001375,0.16106152534484863
313,313,,E14001376,0.17862892150878906
314,314,,E14001377,0.0
315,315,,E14001378,0.0
316,316,,E14001379,0.0
317,317,,E14001380,0.23433971405029297
318,318,,E14001381,0.19191193580627441
319,319,,E14001382,0.13694250583648682
320,320,,E14001383,0.15951204299926758
321,321,,E14001384,0.17164675891399384
322,322,,E14001385,0.3234965205192566
323,323,,E14001386,0.20261576771736145
324,324,,E14001387,0.34903082251548767
325,325,,E14001388,0.2266930788755417
326,326,,E14001389,0.13325484097003937
327,327,,E14001390,0.16478769481182098
328,328,,E14001391,0.16532987356185913
329,329,,E14001392,0.18365728855133057
330,330,,E14001393,0.1596682071685791
331,331,,E14001394,0.23352789878845215
332,332,,E14001395,0.16759508848190308
333,333,,E14001396,0.17120714485645294
334,334,,E14001397,0.1495160013437271
335,335,,E14001398,0.18274490535259247
336,336,,E14001399,0.27668702602386475
337,337,,E14001400,0.20277011394500732
338,338,,E14001401,0.17332887649536133
339,339,,E14001402,0.16570620238780975
340,340,,E14001403,0.18339252471923828
341,341,,E14001404,0.1863173246383667
342,342,,E14001405,0.17073968052864075
343,343,,E14001406,0.0
344,344,,E14001407,0.0
345,345,,E14001408,0.0
346,346,,E14001409,0.0
347,347,,E14001410,0.0
348,348,,E14001411,0.0
349,349,,E14001412,0.1716151237487793
350,350,,E14001413,0.0
351,351,,E14001414,0.0
352,352,,E14001415,0.26238012313842773
353,353,,E14001416,0.0
354,354,,E14001417,0.19396662712097168
355,355,,E14001418,0.17363250255584717
356,356,,E14001419,0.0
357,357,,E14001420,0.17270398139953613
358,358,,E14001421,0.0
359,359,,E14001422,0.26550960540771484
360,360,,E14001423,0.17615485191345215
361,361,,E14001424,0.26596346497535706
362,362,,E14001425,0.0
363,363,,E14001426,0.0
364,364,,E14001427,0.0
365,365,,E14001428,0.15323281288146973
366,366,,E14001429,0.2780301570892334
367,367,,E14001430,0.0
368,368,,E14001431,0.31130552291870117
369,369,,E14001432,0.0
370,370,,E14001433,0.0
371,371,,E14001434,0.0
372,372,,E14001435,0.0
373,373,,E14001436,0.0
374,374,,E14001437,0.0
375,375,,E14001438,0.0
376,376,,E14001439,0.17513394355773926
377,377,,E14001440,0.0
378,378,,E14001441,0.19465851783752441
379,379,,E14001442,0.20027947425842285
380,380,,E14001443,0.312957763671875
381,381,,E14001444,0.16870012879371643
382,382,,E14001445,0.1876826286315918
383,383,,E14001446,0.0
384,384,,E14001447,0.17818987369537354
385,385,,E14001448,0.18310546875
386,386,,E14001449,0.19406723976135254
387,387,,E14001450,0.27667784690856934
388,388,,E14001451,0.0
389,389,,E14001452,0.1555953025817871
390,390,,E14001453,0.20743894577026367
391,391,,E14001454,0.0
392,392,,E14001455,0.20530128479003906
393,393,,E14001456,0.18949079513549805
394,394,,E14001457,0.1740894317626953
395,395,,E14001458,0.17496582865715027
396,396,,E14001459,0.0
397,397,,E14001460,0.2038213461637497
398,398,,E14001461,0.13058483600616455
399,399,,E14001462,0.1483791619539261
400,400,,E14001463,0.2680020332336426
401,401,,E14001464,0.15604066848754883
402,402,,E14001465,0.1812887191772461
403,403,,E14001466,0.16392779350280762
404,404,,E14001467,0.0
405,405,,E14001468,0.0
406,406,,E14001469,0.0
407,407,,E14001470,0.0
408,408,,E14001471,0.15988588333129883
409,409,,E14001472,0.0
410,410,,E14001473,0.17859995365142822
