,region,constituency,name,pr_djf_anom
0,1,E14000530,Aldershot,0.1796217
1,2,E14000531,Aldridge-Brownhills,0.2119801
2,3,E14000532,Altrincham and Sale West,0.19842148
3,4,E14000533,Amber Valley,0.17473269
4,5,E14000534,Arundel and South Downs,0.24189743
5,6,E14000535,Ashfield,0.16920137
6,7,E14000536,Ashford,0.20487007
7,8,E14000537,Ashton-under-Lyne,0.30418825
8,9,E14000538,Aylesbury,0.18410587
9,10,E14000539,Banbury,0.1864697
10,11,E14000540,Barking,0.18265033
11,12,E14000541,Barnsley Central,0.15776658
12,13,E14000542,Barnsley East,0.15776658
13,14,E14000543,Barrow and Furness,0.19619958
14,15,E14000544,Basildon and Billericay,0.17735839
15,16,E14000545,Basingstoke,0.18457818
16,17,E14000546,Bassetlaw,0.14908957
17,18,E14000547,Bath,0.2051506
18,19,E14000548,Batley and Spen,0.18565631
19,20,E14000549,Battersea,0.18782187
20,21,E14000550,Beaconsfield,0.1806761
21,22,E14000551,Beckenham,0.18581033
22,23,E14000552,Bedford,0.17575884
23,24,E14000553,Bermondsey and Old Southwark,0.18655133
24,25,E14000554,Berwick-upon-Tweed,0.1493257
25,26,E14000555,Bethnal Green and Bow,0.18195987
26,27,E14000556,Beverley and Holderness,0.13472286
27,28,E14000557,Bexhill and Battle,0.241876
28,29,E14000558,Bexleyheath and Crayford,0.18492818
29,30,E14000559,Birkenhead,0.31292725
30,31,E14000560,"Birmingham, Edgbaston",0.20305204
31,32,E14000561,"Birmingham, Erdington",0.20604348
32,33,E14000562,"Birmingham, Hall Green",0.20305204
33,34,E14000563,"Birmingham, Hodge Hill",0.20248199
34,35,E14000564,"Birmingham, Ladywood",0.20305204
35,36,E14000565,"Birmingham, Northfield",0.20305204
36,37,E14000566,"Birmingham, Perry Barr",0.2119801
37,38,E14000567,"Birmingham, Selly Oak",0.20305204
38,39,E14000568,"Birmingham, Yardley",0.20248199
39,40,E14000569,Bishop Auckland,0.17964506
40,41,E14000570,Blackburn,0.31404305
41,42,E14000571,Blackley and Broughton,0.27458572
42,43,E14000572,Blackpool North and Cleveleys,0.3044343
43,44,E14000573,Blackpool South,0.31818676
44,45,E14000574,Blaydon,0.13564205
45,46,E14000575,Blyth Valley,0.13104653
46,47,E14000576,Bognor Regis and Littlehampton,0.30384815
