,region,constituency,name,prjja_reanal
0,0,E14001063,Aldershot,11.394611
1,1,E14001064,Aldridge-Brownhills,12.126625
2,2,E14001065,Altrincham and Sale West,12.6459255
3,3,E14001066,Amber Valley,13.676989
4,4,E14001067,Arundel and South Downs,18.850403
5,5,E14001068,Ashfield,14.575859
6,6,E14001069,Ashford,9.035344
7,7,E14001070,Ashton-under-Lyne,12.311323
8,8,E14001071,Aylesbury,12.246845
9,9,E14001072,Banbury,12.673279
10,10,E14001073,Barking,12.214686
11,11,E14001074,Barnsley North,17.511936
12,12,E14001075,Barnsley South,17.231516
13,13,E14001076,Barrow and Furness,16.887127
14,14,E14001077,Basildon and Billericay,11.382427
15,15,E14001078,Basingstoke,10.453216
16,16,E14001079,Bassetlaw,16.721096
17,17,E14001080,Bath,14.120363
18,18,E14001081,Battersea,12.395797
19,19,E14001082,Beaconsfield,11.148305
20,20,E14001083,Beckenham and Penge,13.028468
21,21,E14001084,Bedford,15.125012
22,22,E14001085,Bermondsey and Old Southwark,12.460452
23,23,E14001086,Bethnal Green and Stepney,12.460452
24,24,E14001087,Beverley and Holderness,18.531998
25,25,E14001088,Bexhill and Battle,10.939768
26,26,E14001089,Bexleyheath and Crayford,11.963406
27,27,E14001090,Bicester and Woodstock,13.391358
28,28,E14001091,Birkenhead,12.491889
29,29,E14001092,Birmingham Edgbaston,11.333447
30,30,E14001093,Birmingham Erdington,11.638524
31,31,E14001094,Birmingham Hall Green and Moseley,11.174354
32,32,E14001095,Birmingham Hodge Hill and Solihull North,11.83705
33,33,E14001096,Birmingham Ladywood,11.638524
34,34,E14001097,Birmingham Northfield,11.062017
35,35,E14001098,Birmingham Perry Barr,11.638524
36,36,E14001099,Birmingham Selly Oak,11.174354
37,37,E14001100,Birmingham Yardley,11.83705
38,38,E14001101,Bishop Auckland,10.857854
39,39,E14001102,Blackburn,15.54159
40,40,E14001103,Blackley and Middleton South,12.154735
41,41,E14001104,Blackpool North and Fleetwood,15.716248
42,42,E14001105,Blackpool South,15.370481
43,43,E14001106,Blaydon and Consett,11.991586
44,44,E14001107,Blyth and Ashington,14.974424
45,45,E14001108,Bognor Regis and Littlehampton,19.816912
46,46,E14001109,Bolsover,16.17832
47,47,E14001110,Bolton North East,14.352245
48,48,E14001111,Bolton South and Walkden,13.49642
49,49,E14001112,Bolton West,15.382019
50,50,E14001113,Bootle,14.766024
51,51,E14001114,Boston and Skegness,17.28966
52,52,E14001115,Bournemouth East,18.601805
53,53,E14001116,Bournemouth West,18.601805
54,54,E14001117,Bracknell,10.889188
55,55,E14001118,Bradford East,15.668066
56,56,E14001119,Bradford South,15.43725
57,57,E14001120,Bradford West,15.43725
58,58,E14001121,Braintree,10.000468
59,59,E14001122,Brent East,11.417426
60,60,E14001123,Brent West,11.417426
61,61,E14001124,Brentford and Isleworth,12.056041
62,62,E14001125,Brentwood and Ongar,10.842117
63,63,E14001126,Bridgwater,14.997284
64,64,E14001127,Bridlington and The Wolds,17.217577
65,65,E14001128,Brigg and Immingham,18.976297
66,66,E14001129,Brighton Kemptown and Peacehaven,18.162512
67,67,E14001130,Brighton Pavilion,18.162512
68,68,E14001131,Bristol Central,15.032689
69,69,E14001132,Bristol East,15.218362
70,70,E14001133,Bristol North East,13.906076
71,71,E14001134,Bristol North West,16.584549
72,72,E14001135,Bristol South,15.218362
73,73,E14001136,Broadland and Fakenham,16.29776
74,74,E14001137,Bromley and Biggin Hill,13.028468
75,75,E14001138,Bromsgrove,10.955601
76,76,E14001139,Broxbourne,11.94743
77,77,E14001140,Broxtowe,13.079293
78,78,E14001141,Buckingham and Bletchley,13.148579
79,79,E14001142,Burnley,15.956818
