,region,constituency,name,rx5day_anom
0,1,E14000530,Aldershot,0.90617186
1,2,E14000531,Aldridge-Brownhills,1.1591084
2,3,E14000532,Altrincham and Sale West,1.0808594
3,4,E14000533,Amber Valley,0.85764974
4,5,E14000534,Arundel and South Downs,1.1668532
5,6,E14000535,Ashfield,0.81161666
6,7,E14000536,Ashford,0.8543471
7,8,E14000537,Ashton-under-Lyne,1.1249424
8,9,E14000538,Aylesbury,0.9433799
9,10,E14000539,Banbury,1.1578711
10,11,E14000540,Barking,0.75676614
11,12,E14000541,Barnsley Central,0.94716555
12,13,E14000542,Barnsley East,0.89688754
13,14,E14000543,Barrow and Furness,1.9769539
14,15,E14000544,Basildon and Billericay,0.69258356
15,16,E14000545,Basingstoke,0.9983903
16,17,E14000546,Bassetlaw,0.77948576
17,18,E14000547,Bath,1.3865505
18,19,E14000548,Batley and Spen,1.0887095
19,20,E14000549,Battersea,0.81176245
20,21,E14000550,Beaconsfield,0.87841576
21,22,E14000551,Beckenham,0.80553436
22,23,E14000552,Bedford,0.9158386
23,24,E14000553,Bermondsey and Old Southwark,0.79629254
24,25,E14000554,Berwick-upon-Tweed,0.733307
25,26,E14000555,Bethnal Green and Bow,0.79629254
26,27,E14000556,Beverley and Holderness,0.7816665
27,28,E14000557,Bexhill and Battle,1.0219983
28,29,E14000558,Bexleyheath and Crayford,0.75676614
29,30,E14000559,Birkenhead,1.2159839
30,31,E14000560,"Birmingham, Edgbaston",1.1650625
31,32,E14000561,"Birmingham, Erdington",1.1880579
32,33,E14000562,"Birmingham, Hall Green",1.2144612
33,34,E14000563,"Birmingham, Hodge Hill",1.193436
34,35,E14000564,"Birmingham, Ladywood",1.1880579
35,36,E14000565,"Birmingham, Northfield",1.1964226
36,37,E14000566,"Birmingham, Perry Barr",1.1880579
37,38,E14000567,"Birmingham, Selly Oak",1.2144612
38,39,E14000568,"Birmingham, Yardley",1.193436
39,40,E14000569,Bishop Auckland,1.0829381
40,41,E14000570,Blackburn,1.326149
41,42,E14000571,Blackley and Broughton,1.1227633
42,43,E14000572,Blackpool North and Cleveleys,1.5333214
43,44,E14000573,Blackpool South,1.442693
44,45,E14000574,Blaydon,0.8257792
45,46,E14000575,Blyth Valley,0.7597008
46,47,E14000576,Bognor Regis and Littlehampton,1.2744567
47,48,E14000577,Bolsover,0.8262553
48,49,E14000578,Bolton North East,1.2177144
49,50,E14000579,Bolton South East,1.2177144
50,51,E14000580,Bolton West,1.1920903
51,52,E14000581,Bootle,1.3102577
52,53,E14000582,Boston and Skegness,0.7581898
53,54,E14000583,Bosworth,1.0403818
54,55,E14000584,Bournemouth East,1.41652
55,56,E14000585,Bournemouth West,1.41652
56,57,E14000586,Bracknell,0.90754473
57,58,E14000587,Bradford East,1.1234078
58,59,E14000588,Bradford South,1.1904601
59,60,E14000589,Bradford West,1.1904601
60,61,E14000590,Braintree,0.6041354
61,62,E14000591,Brent Central,0.83070284
62,63,E14000592,Brent North,0.83070284
63,64,E14000593,Brentford and Isleworth,0.8318751
64,65,E14000594,Brentwood and Ongar,0.6901655
65,66,E14000595,Bridgwater and West Somerset,1.4361434
66,67,E14000596,Brigg and Goole,0.7611835
67,68,E14000597,"Brighton, Kemptown",1.2172128
68,69,E14000598,"Brighton, Pavilion",1.2172128
69,70,E14000599,Bristol East,1.4125205
70,71,E14000600,Bristol North West,1.4306996
71,72,E14000601,Bristol South,1.4249885
72,73,E14000602,Bristol West,1.4125205
73,74,E14000603,Broadland,0.8615765
74,75,E14000604,Bromley and Chislehurst,0.7868383
75,76,E14000605,Bromsgrove,1.2059816
76,77,E14000606,Broxbourne,0.8048827
77,78,E14000607,Broxtowe,0.8307867
78,79,E14000608,Buckingham,1.0224046
79,80,E14000609,Burnley,1.5770149
80,81,E14000610,Burton,1.0160491
81,82,E14000611,Bury North,1.2351333
82,83,E14000612,Bury South,1.2351333
83,84,E14000613,Bury St Edmunds,0.6579194
84,85,E14000614,Calder Valley,1.2973382
85,86,E14000615,Camberwell and Peckham,0.79629254
86,87,E14000616,Camborne and Redruth,1.0376931
87,88,E14000617,Cambridge,0.7334403
88,89,E14000618,Cannock Chase,1.0905321
89,90,E14000619,Canterbury,0.80098724
90,91,E14000620,Carlisle,1.2708588
91,92,E14000621,Carshalton and Wallington,0.82883185
92,93,E14000622,Castle Point,0.79609543
93,94,E14000623,Central Devon,1.3402925
94,95,E14000624,Central Suffolk and North Ipswich,0.7355223
95,96,E14000625,Charnwood,0.919511
96,97,E14000626,Chatham and Aylesford,0.80599356
97,98,E14000627,Cheadle,1.0967176
98,99,E14000628,Chelmsford,0.66851985
99,100,E14000629,Chelsea and Fulham,0.81176245
100,101,E14000630,Cheltenham,1.3794607
101,102,E14000631,Chesham and Amersham,0.88986975
102,103,E14000632,Chesterfield,0.8766958
103,104,E14000633,Chichester,1.242762
104,105,E14000634,Chingford and Woodford Green,0.77984047
105,106,E14000635,Chippenham,1.3013569
106,107,E14000636,Chipping Barnet,0.81261945
107,108,E14000637,Chorley,1.290308
108,109,E14000638,Christchurch,1.392257
109,110,E14000639,Cities of London and Westminster,0.81176245
110,111,E14000640,City of Chester,0.9383676
111,112,E14000641,City of Durham,0.782362
112,113,E14000642,Clacton,0.90077126
113,114,E14000643,Cleethorpes,0.77252734
114,115,E14000644,Colchester,0.59112084
115,116,E14000645,Colne Valley,1.1537715
116,117,E14000646,Congleton,0.9704245
117,118,E14000647,Copeland,1.6222072
118,119,E14000648,Corby,0.8531247
119,120,E14000649,Coventry North East,1.171247
120,121,E14000650,Coventry North West,1.1998541
121,122,E14000651,Coventry South,1.1855506
122,123,E14000652,Crawley,0.95571095
123,124,E14000653,Crewe and Nantwich,0.9152996
124,125,E14000654,Croydon Central,0.818026
125,126,E14000655,Croydon North,0.818026
126,127,E14000656,Croydon South,0.8414226
127,128,E14000657,Dagenham and Rainham,0.7306674
128,129,E14000658,Darlington,0.8311278
129,130,E14000659,Dartford,0.77155197
130,131,E14000660,Daventry,1.0407252
131,132,E14000661,Denton and Reddish,1.1249424
132,133,E14000662,Derby North,0.93489707
133,134,E14000663,Derby South,0.93489707
134,135,E14000664,Derbyshire Dales,0.9937756
135,136,E14000665,Devizes,1.1698202
136,137,E14000666,Dewsbury,1.0419989
137,138,E14000667,Don Valley,0.78704214
138,139,E14000668,Doncaster Central,0.80653065
139,140,E14000669,Doncaster North,0.82408017
140,141,E14000670,Dover,0.89977026
141,142,E14000671,Dudley North,1.145264
142,143,E14000672,Dudley South,1.145264
143,144,E14000673,Dulwich and West Norwood,0.818026
144,145,E14000674,Ealing Central and Acton,0.8318751
145,146,E14000675,Ealing North,0.8407049
146,147,E14000676,"Ealing, Southall",0.8407049
147,148,E14000677,Easington,0.7373948
148,149,E14000678,East Devon,1.2189319
149,150,E14000679,East Ham,0.77992433
150,151,E14000680,East Hampshire,1.0399383
151,152,E14000681,East Surrey,0.86179996
152,153,E14000682,East Worthing and Shoreham,1.1950922
153,154,E14000683,East Yorkshire,0.72811943
154,155,E14000684,Eastbourne,1.3047768
155,156,E14000685,Eastleigh,1.2226051
156,157,E14000686,Eddisbury,0.9227519
157,158,E14000687,Edmonton,0.7967966
158,159,E14000688,Ellesmere Port and Neston,1.0309875
159,160,E14000689,Elmet and Rothwell,0.9441467
160,161,E14000690,Eltham,0.77992433
161,162,E14000691,Enfield North,0.8048827
162,163,E14000692,"Enfield, Southgate",0.8048827
163,164,E14000693,Epping Forest,0.7693764
164,165,E14000694,Epsom and Ewell,0.8551619
165,166,E14000695,Erewash,0.86377454
166,167,E14000696,Erith and Thamesmead,0.75676614
167,168,E14000697,Esher and Walton,0.8466886
168,169,E14000698,Exeter,1.2801348
169,170,E14000699,Fareham,1.2138461
170,171,E14000700,Faversham and Mid Kent,0.78470874
171,172,E14000701,Feltham and Heston,0.8407049
172,173,E14000702,Filton and Bradley Stoke,1.4125205
173,174,E14000703,Finchley and Golders Green,0.81261945
174,175,E14000704,Folkestone and Hythe,0.9438383
175,176,E14000705,Forest of Dean,1.3667728
176,177,E14000706,Fylde,1.4212065
177,178,E14000707,Gainsborough,0.78411895
178,179,E14000708,Garston and Halewood,1.1178526
179,180,E14000709,Gateshead,0.8008314
180,181,E14000710,Gedling,0.7841728
181,182,E14000711,Gillingham and Rainham,0.7853568
182,183,E14000712,Gloucester,1.3689369
183,184,E14000713,Gosport,1.2138461
184,185,E14000714,Grantham and Stamford,0.71609616
185,186,E14000715,Gravesham,0.76232255
186,187,E14000716,Great Grimsby,0.7718701
187,188,E14000717,Great Yarmouth,1.0236928
188,189,E14000718,Greenwich and Woolwich,0.77992433
189,190,E14000719,Guildford,0.959208
190,191,E14000720,Hackney North and Stoke Newington,0.7967966
191,192,E14000721,Hackney South and Shoreditch,0.79629254
192,193,E14000722,Halesowen and Rowley Regis,1.145264
193,194,E14000723,Halifax,1.2255268
194,195,E14000724,Haltemprice and Howden,0.73765945
195,196,E14000725,Halton,1.0542873
196,197,E14000726,Hammersmith,0.81176245
197,198,E14000727,Hampstead and Kilburn,0.81176245
198,199,E14000728,Harborough,0.960701
199,200,E14000729,Harlow,0.75568014
200,201,E14000730,Harrogate and Knaresborough,0.96483546
201,202,E14000731,Harrow East,0.83070284
202,203,E14000732,Harrow West,0.8475303
203,204,E14000733,Hartlepool,0.7420057
204,205,E14000734,Harwich and North Essex,0.6883768
205,206,E14000735,Hastings and Rye,1.0523502
206,207,E14000736,Havant,1.2659551
207,208,E14000737,Hayes and Harlington,0.8564156
208,209,E14000738,Hazel Grove,1.0894579
209,210,E14000739,Hemel Hempstead,0.9000299
210,211,E14000740,Hemsworth,0.90169144
211,212,E14000741,Hendon,0.83070284
212,213,E14000742,Henley,1.037733
213,214,E14000743,Hereford and South Herefordshire,1.4434512
214,215,E14000744,Hertford and Stortford,0.7869988
215,216,E14000745,Hertsmere,0.8376032
216,217,E14000746,Hexham,1.020321
217,218,E14000747,Heywood and Middleton,1.2397348
218,219,E14000748,High Peak,1.0920451
219,220,E14000749,Hitchin and Harpenden,0.8739289
220,221,E14000750,Holborn and St Pancras,0.81176245
221,222,E14000751,Hornchurch and Upminster,0.71165735
222,223,E14000752,Hornsey and Wood Green,0.7967966
223,224,E14000753,Horsham,0.99853975
224,225,E14000754,Houghton and Sunderland South,0.7630143
225,226,E14000755,Hove,1.2103378
226,227,E14000756,Huddersfield,1.1556036
227,228,E14000757,Huntingdon,0.8203045
228,229,E14000758,Hyndburn,1.5197768
229,230,E14000759,Ilford North,0.74545854
230,231,E14000760,Ilford South,0.74545854
231,232,E14000761,Ipswich,0.7525673
232,233,E14000762,Isle of Wight,1.4806389
233,234,E14000763,Islington North,0.7967966
234,235,E14000764,Islington South and Finsbury,0.79629254
235,236,E14000765,Jarrow,0.7807613
236,237,E14000766,Keighley,1.3315164
237,238,E14000767,Kenilworth and Southam,1.1774579
238,239,E14000768,Kensington,0.81176245
239,240,E14000769,Kettering,0.9238498
240,241,E14000770,Kingston and Surbiton,0.8368731
