,region,constituency,name,rx5day_reanal
0,0,E14001063,Aldershot,1.4662635
1,1,E14001064,Aldridge-Brownhills,9.9951315
2,2,E14001065,Altrincham and Sale West,4.2040014
3,3,E14001066,Amber Valley,5.3474417
4,4,E14001067,Arundel and South Downs,4.138793
5,5,E14001068,Ashfield,7.4458704
6,6,E14001069,Ashford,2.4769773
7,7,E14001070,Ashton-under-Lyne,6.7892475
8,8,E14001071,Aylesbury,4.253677
9,9,E14001072,Banbury,5.3081946
10,10,E14001073,Barking,6.488494
11,11,E14001074,Barnsley North,6.7652593
12,12,E14001075,Barnsley South,5.713724
13,13,E14001076,Barrow and Furness,4.557013
14,14,E14001077,Basildon and Billericay,3.609934
15,15,E14001078,Basingstoke,-0.40395615
16,16,E14001079,Bassetlaw,9.463839
17,17,E14001080,Bath,7.1983776
18,18,E14001081,Battersea,5.462683
19,19,E14001082,Beaconsfield,4.0776744
20,20,E14001083,Beckenham and Penge,3.3701174
21,21,E14001084,Bedford,2.8865945
22,22,E14001085,Bermondsey and Old Southwark,6.148457
23,23,E14001086,Bethnal Green and Stepney,6.148457
24,24,E14001087,Beverley and Holderness,11.822651
25,25,E14001088,Bexhill and Battle,-1.7679803
26,26,E14001089,Bexleyheath and Crayford,5.601827
27,27,E14001090,Bicester and Woodstock,4.5864854
28,28,E14001091,Birkenhead,-1.0286137
29,29,E14001092,Birmingham Edgbaston,11.378362
30,30,E14001093,Birmingham Erdington,11.329454
31,31,E14001094,Birmingham Hall Green and Moseley,12.246766
32,32,E14001095,Birmingham Hodge Hill and Solihull North,10.78974
33,33,E14001096,Birmingham Ladywood,11.329454
34,34,E14001097,Birmingham Northfield,12.162952
35,35,E14001098,Birmingham Perry Barr,11.329454
36,36,E14001099,Birmingham Selly Oak,12.246766
37,37,E14001100,Birmingham Yardley,10.78974
38,38,E14001101,Bishop Auckland,9.481005
39,39,E14001102,Blackburn,7.199067
40,40,E14001103,Blackley and Middleton South,6.526173
41,41,E14001104,Blackpool North and Fleetwood,6.8809643
42,42,E14001105,Blackpool South,6.994687
43,43,E14001106,Blaydon and Consett,9.635102
44,44,E14001107,Blyth and Ashington,9.352069
45,45,E14001108,Bognor Regis and Littlehampton,3.6185508
46,46,E14001109,Bolsover,8.091432
47,47,E14001110,Bolton North East,6.0129304
48,48,E14001111,Bolton South and Walkden,4.2446623
49,49,E14001112,Bolton West,4.782912
50,50,E14001113,Bootle,1.7503494
51,51,E14001114,Boston and Skegness,6.0906157
52,52,E14001115,Bournemouth East,13.102001
53,53,E14001116,Bournemouth West,13.102001
54,54,E14001117,Bracknell,1.9508948
55,55,E14001118,Bradford East,14.447395
56,56,E14001119,Bradford South,14.1340685
57,57,E14001120,Bradford West,14.1340685
58,58,E14001121,Braintree,3.5110986
59,59,E14001122,Brent East,6.0446873
60,60,E14001123,Brent West,6.0446873
61,61,E14001124,Brentford and Isleworth,4.530869
62,62,E14001125,Brentwood and Ongar,5.8386445
63,63,E14001126,Bridgwater,5.583318
64,64,E14001127,Bridlington and The Wolds,11.018602
65,65,E14001128,Brigg and Immingham,11.251477
66,66,E14001129,Brighton Kemptown and Peacehaven,1.6257275
67,67,E14001130,Brighton Pavilion,1.6257275
68,68,E14001131,Bristol Central,9.66075
69,69,E14001132,Bristol East,8.686641
70,70,E14001133,Bristol North East,9.187394
71,71,E14001134,Bristol North West,9.730048
72,72,E14001135,Bristol South,8.686641
73,73,E14001136,Broadland and Fakenham,3.7497947
74,74,E14001137,Bromley and Biggin Hill,3.3701174
75,75,E14001138,Bromsgrove,11.878403
76,76,E14001139,Broxbourne,6.9869413
77,77,E14001140,Broxtowe,4.928451
78,78,E14001141,Buckingham and Bletchley,4.0953617
79,79,E14001142,Burnley,9.488736
80,80,E14001143,Burton and Uttoxeter,5.2936773
81,81,E14001144,Bury North,6.8162775
82,82,E14001145,Bury South,5.5316744
83,83,E14001146,Bury St Edmunds and Stowmarket,3.5458233
84,84,E14001147,Calder Valley,11.707965
85,85,E14001148,Camborne and Redruth,7.458589
86,86,E14001149,Cambridge,4.180105
87,87,E14001150,Cannock Chase,8.418651
88,88,E14001151,Canterbury,1.9951787
89,89,E14001152,Carlisle,12.702708
90,90,E14001153,Carshalton and Wallington,2.9767106
91,91,E14001154,Castle Point,-0.24095926
92,92,E14001155,Central Devon,3.9404573
