,region,constituency,name,t_trend
0,1,E14000530,Aldershot,0.21087152
1,2,E14000531,Aldridge-Brownhills,0.19577819
2,3,E14000532,Altrincham and Sale West,0.18579035
3,4,E14000533,Amber Valley,0.20076503
4,5,E14000534,Arundel and South Downs,0.20445548
5,6,E14000535,Ashfield,0.2023802
6,7,E14000536,Ashford,0.21865804
7,8,E14000537,Ashton-under-Lyne,0.17964017
8,9,E14000538,Aylesbury,0.21145186
9,10,E14000539,Banbury,0.20795232
10,11,E14000540,Barking,0.21611215
11,12,E14000541,Barnsley Central,0.19344148
12,13,E14000542,Barnsley East,0.19879544
13,14,E14000543,Barrow and Furness,0.155814
14,15,E14000544,Basildon and Billericay,0.21319288
15,16,E14000545,Basingstoke,0.20569108
16,17,E14000546,Bassetlaw,0.20412953
17,18,E14000547,Bath,0.18776879
18,19,E14000548,Batley and Spen,0.18190724
19,20,E14000549,Battersea,0.21723123
20,21,E14000550,Beaconsfield,0.21312058
21,22,E14000551,Beckenham,0.21532066
22,23,E14000552,Bedford,0.22082867
23,24,E14000553,Bermondsey and Old Southwark,0.21804929
24,25,E14000554,Berwick-upon-Tweed,0.15682584
25,26,E14000555,Bethnal Green and Bow,0.21804929
26,27,E14000556,Beverley and Holderness,0.18752557
27,28,E14000557,Bexhill and Battle,0.21424273
28,29,E14000558,Bexleyheath and Crayford,0.21611215
29,30,E14000559,Birkenhead,0.16597402
30,31,E14000560,"Birmingham, Edgbaston",0.19632356
31,32,E14000561,"Birmingham, Erdington",0.19720832
32,33,E14000562,"Birmingham, Hall Green",0.19825773
33,34,E14000563,"Birmingham, Hodge Hill",0.19851862
34,35,E14000564,"Birmingham, Ladywood",0.19720832
35,36,E14000565,"Birmingham, Northfield",0.19714692
36,37,E14000566,"Birmingham, Perry Barr",0.19720832
37,38,E14000567,"Birmingham, Selly Oak",0.19825773
38,39,E14000568,"Birmingham, Yardley",0.19851862
39,40,E14000569,Bishop Auckland,0.17723604
40,41,E14000570,Blackburn,0.17787126
41,42,E14000571,Blackley and Broughton,0.18531463
42,43,E14000572,Blackpool North and Cleveleys,0.16359776
43,44,E14000573,Blackpool South,0.16458935
44,45,E14000574,Blaydon,0.17148733
45,46,E14000575,Blyth Valley,0.16340888
46,47,E14000576,Bognor Regis and Littlehampton,0.19819812
47,48,E14000577,Bolsover,0.20139126
48,49,E14000578,Bolton North East,0.18068781
49,50,E14000579,Bolton South East,0.18068781
50,51,E14000580,Bolton West,0.17791846
51,52,E14000581,Bootle,0.16730203
52,53,E14000582,Boston and Skegness,0.20632666
53,54,E14000583,Bosworth,0.20345072
54,55,E14000584,Bournemouth East,0.18128455
55,56,E14000585,Bournemouth West,0.18128455
56,57,E14000586,Bracknell,0.21117902
57,58,E14000587,Bradford East,0.18335032
58,59,E14000588,Bradford South,0.18064886
59,60,E14000589,Bradford West,0.18064886
60,61,E14000590,Braintree,0.21743591
61,62,E14000591,Brent Central,0.21421456
62,63,E14000592,Brent North,0.21421456
63,64,E14000593,Brentford and Isleworth,0.21496592
64,65,E14000594,Brentwood and Ongar,0.21478473
65,66,E14000595,Bridgwater and West Somerset,0.16830556
66,67,E14000596,Brigg and Goole,0.1988915
67,68,E14000597,"Brighton, Kemptown",0.20650914
68,69,E14000598,"Brighton, Pavilion",0.20650914
69,70,E14000599,Bristol East,0.18564337
70,71,E14000600,Bristol North West,0.18529189
71,72,E14000601,Bristol South,0.1848566
72,73,E14000602,Bristol West,0.18564337
73,74,E14000603,Broadland,0.21129411
74,75,E14000604,Bromley and Chislehurst,0.21533719
75,76,E14000605,Bromsgrove,0.1979221
76,77,E14000606,Broxbourne,0.21676494
77,78,E14000607,Broxtowe,0.20463043
