,region,constituency,name,txx_anom
0,0,E14001063,Aldershot,0.5360298
1,1,E14001064,Aldridge-Brownhills,0.54291725
2,2,E14001065,Altrincham and Sale West,0.50753784
3,3,E14001066,Amber Valley,0.5113354
4,4,E14001067,Arundel and South Downs,0.5968459
5,5,E14001068,Ashfield,0.52013016
6,6,E14001069,Ashford,0.587265
7,7,E14001070,Ashton-under-Lyne,0.44887352
8,8,E14001071,Aylesbury,0.51805115
9,9,E14001072,Banbury,0.53347397
10,10,E14001073,Barking,0.52511215
11,11,E14001074,Barnsley North,0.50227356
12,12,E14001075,Barnsley South,0.50227356
13,13,E14001076,Barrow and Furness,0.37166238
14,14,E14001077,Basildon and Billericay,0.5902157
15,15,E14001078,Basingstoke,0.6171894
16,16,E14001079,Bassetlaw,0.5293379
17,17,E14001080,Bath,0.6135292
18,18,E14001081,Battersea,0.53473854
19,19,E14001082,Beaconsfield,0.5688038
20,20,E14001083,Beckenham and Penge,0.5138149
21,21,E14001084,Bedford,0.5154724
22,22,E14001085,Bermondsey and Old Southwark,0.5138149
23,23,E14001086,Bethnal Green and Stepney,0.52456856
24,24,E14001087,Beverley and Holderness,0.4125433
25,25,E14001088,Bexhill and Battle,0.5154622
26,26,E14001089,Bexleyheath and Crayford,0.54735756
27,27,E14001090,Bicester and Woodstock,0.5362129
28,28,E14001091,Birkenhead,0.45104027
29,29,E14001092,Birmingham Edgbaston,0.53351593
30,30,E14001093,Birmingham Erdington,0.534729
31,31,E14001094,Birmingham Hall Green and Moseley,0.53351593
32,32,E14001095,Birmingham Hodge Hill and Solihull North,0.5491257
33,33,E14001096,Birmingham Ladywood,0.53351593
34,34,E14001097,Birmingham Northfield,0.53351593
35,35,E14001098,Birmingham Perry Barr,0.54291725
36,36,E14001099,Birmingham Selly Oak,0.53351593
37,37,E14001100,Birmingham Yardley,0.5491257
38,38,E14001101,Bishop Auckland,0.3869711
39,39,E14001102,Blackburn,0.46466446
40,40,E14001103,Blackley and Middleton South,0.4775238
41,41,E14001104,Blackpool North and Fleetwood,0.38238335
42,42,E14001105,Blackpool South,0.4441967
43,43,E14001106,Blaydon and Consett,0.33872414
44,44,E14001107,Blyth and Ashington,0.2809105
45,45,E14001108,Bognor Regis and Littlehampton,0.54766846
